I,Vout,V,D,P,Irradiance,Temperature
7.464684142389361,57.690367568916905,26.9209931494242,531,207.173241006599,1046,40
2.90553439230954,36.6119321843593,27.6044785839155,245,83.6676133105045,415,40
2.90833314234421,36.8721571535605,27.943666061697698,0.24100000000000002,84.80443454463379,415,37
4.38001795826985,44.28936154459479,26.575820276891104,401,122.73528129666401,599,37
4.03538878615682,46.2293251929954,31.4193828744512,321,133.33824985732,599,16
5.2179221669422,51.4672756544575,30.405941615366203,0.40700000000000003,165.20571079216802,745,16
5.26339217858332,49.1976703550406,27.6402607851021,441,150.990656008297,745,38
3.8894251433672102,41.76985183394729,26.5202292615766,363,109.201764481387,535,38
3.7052173747009505,43.6398193419331,30.697969270036,295,118.76250240020399,535,17
5.277551155959831,51.7924272163751,30.467539356394898,413,167.182884305152,757,17
5.24210075586675,51.173549709003,29.8848643278768,413,163.24562862910102,757,23
6.535072973902169,56.7066164505631,29.573047380384104,475,200.388061054697,936,23
6.36878945065392,55.2458626529454,28.501592290841103,0.48700000000000004,190.192715622556,936,36
5.004508786396969,49.3210662827106,28.7471344495681,419,151.731772366764,741,36
5.28861833512825,47.627205118762596,25.8092706154662,0.45899999999999996,141.460142816601,741,51
7.40363904602605,56.2486277245137,25.8600931751153,545,197.241710586512,1049,51
7.787015356233961,56.9124042673345,24.9671037661365,563,202.79414520771198,1049,46
3.3398242193174905,38.0525210859522,25.8904238915094,321,90.4885981310853,460,46
3.2100483879597097,38.994913602123795,28.312807109464302,273,94.8937307107979,460,35
4.68869938983063,46.75348570884071,27.900883283425603,401,136.320535014101,662,35
4.8196364849654,44.6160717045121,24.7505768261956,0.44299999999999995,124.30130139100201,662,55
3.89025602825988,41.1139211602258,25.831108522678104,369,105.393572019826,560,55
3.8995372572119598,40.8204594554841,25.4005162580917,375,103.844845461385,560,58
5.67991670755389,48.61920793394879,25.0190836268832,0.48700000000000004,147.32531450512502,799,58
5.80581411634194,51.454486397672206,27.2936591398699,0.47100000000000003,165.49051799566,799,33
2.6415259214631,35.414116416116,28.585142048011104,195,78.2967656545523,377,33
2.6893980580718497,36.0857684104558,29.1007224547188,193,81.3682368214889,377,24
2.7730319409909803,37.0604099268623,29.7238455593579,0.19699999999999998,85.6919330355298,397,24
2.9178124291757404,34.3863562252024,24.147380689179002,299,73.9376586854108,397,57
4.09510421119305,42.0580287291991,25.650258425450602,387,110.27278322089701,592,57
4.20247950003968,44.228929664392005,27.827993715938696,369,122.064121952283,592,35
2.9497186142177303,37.371999495394796,28.371733021207298,243,87.1913426828343,423,35
2.97349219382929,35.759067498523,25.7210993475781,0.28300000000000003,79.8169475020361,423,54
3.29520791684889,38.0113627092852,26.051691957541,317,90.1378717881068,477,54
3.28853415918844,40.954036959535706,30.525919933417,257,104.680154150439,477,20
4.2352896319427,46.9717968137462,30.874749624187697,345,137.63206075564,628,20
4.3362005219632,47.43530918526629,30.971409135444397,345,140.24647055436,628,15
2.61391309727329,36.8427279240235,31.2387854028062,151,84.7311358209817,379,15
2.6432729981587997,36.7670055961537,30.867735211213397,159,84.4011943686477,379,16
5.95912507221794,55.868165344487494,31.1894016524714,445,194.669275168147,882,16
6.4910934059287095,53.2543037881905,26.1090297424068,511,177.40785880593003,882,39
6.020100038042769,51.7796171550134,26.7676731985624,485,167.421106528624,831,39
5.60050934484697,52.4966426866342,29.1128896350107,447,171.767874784209,831,33
3.3090424517863304,40.0069164507386,28.841923741426502,281,99.88650470146791,480,33
3.32567718279229,40.3432722717634,29.2666593316361,0.27699999999999997,101.576371912803,480,29
2.74777183775382,36.631469126058896,29.2228120584756,201,83.7291146476273,396,29
2.7841073480254197,35.104259184092896,26.4460236860251,245,76.9051942597469,396,48
4.502157763650549,45.2079322822235,26.9263029985682,401,127.35401552437901,655,48
4.62064186279792,46.705779095690204,28.246200463916203,0.39299999999999996,136.007904123519,655,33
5.04522979453725,48.1448066649162,27.461000544046897,431,144.86715092010098,697,33
4.956571233843941,46.76991814110029,26.5197185847317,435,136.458320473751,697,46
3.5225957646200605,39.74702080463479,26.7982437899836,327,98.5749931116357,502,46
3.5107539838142503,38.7114225996248,25.423862432711395,341,93.4517719034306,502,57
7.39909164782143,54.290711061338904,24.073669635149802,0.5589999999999999,184.20766707109797,1003,57
7.005945113297,55.09108121563501,26.097736272400898,531,189.23956075832402,1003,51
5.64590398646001,49.4732767046601,25.9879515013934,0.47100000000000003,152.392186970526,799,51
5.483678214083801,53.622290647501295,31.4383918869248,0.41700000000000004,179.40950783101502,799,12
2.5969506848432498,36.4529416185776,31.1029313658258,149,82.9392578572872,367,12
2.57435799388642,32.8512191016019,25.0224714103024,237,67.36171963077341,367,59
7.39471504273884,54.56430148502189,24.4228436795298,0.5529999999999999,185.546053497107,1025,59
6.96373124223034,55.2680529275596,26.013053750212396,523,190.076468322526,1025,55
4.882961156016901,45.5641086219124,25.5200549057135,0.44299999999999995,129.510029520966,690,55
4.71289486391506,46.9851244349648,27.812410123041897,0.41100000000000003,137.75879984933098,690,42
2.84814249335009,35.446888774532795,26.3088083750247,257,78.5969624485542,393,42
2.81808330953686,37.8850888641699,30.3409667758589,0.19699999999999998,89.8218317740138,393,10
2.9701108239969396,39.5957918980048,31.684629280594002,0.19899999999999998,97.809348874969,429,10
3.15283303406473,35.5789145910681,23.916881828944803,0.32899999999999996,79.1507926257333,429,59
7.459257288771569,56.533160858793494,25.441440007491003,0.5429999999999999,198.79439302769902,1099,59
7.553596761227231,60.5236114854846,29.029399511419896,515,227.927257733265,1099,29
7.31530744815848,57.780042534301394,27.289046796887398,529,208.937750411015,1000,29
7.11368240145952,57.6852794771166,28.239489390907696,513,207.525843546919,1000,30
5.47680976310956,52.238344671920395,29.493186248041898,433,170.061895399615,812,30
5.8952880695753,51.494439379982005,26.919696963340897,475,165.81781966416,812,36
2.5791047658190496,34.8516153021112,28.2216185409794,0.18899999999999997,75.8169271681535,370,36
2.5886380332832,34.6984008118751,27.8724227229706,195,75.1512315620585,370,38
4.14883467336679,43.938355444431,27.828048898475398,0.36700000000000005,120.45395471233299,592,38
4.35864279279365,41.9297616838631,24.0836355998727,0.42700000000000005,109.920850139641,592,58
5.1201020034883795,45.504197438590296,24.2438720326617,469,129.422434687997,698,58
4.98886754197453,46.0459933488312,25.5221644865096,445,132.245996813292,698,53
2.9945188193716605,35.9108754298343,25.6953296321808,0.28300000000000003,80.4213004806846,424,53
2.99792110390698,37.506252035612604,28.1281695346029,249,87.74287865232509,424,34
5.42343989170629,50.712510138082294,28.381249750021,0.43700000000000006,160.304342275391,778,34
5.4342429978515,48.5017772071206,25.848821085127696,0.46299999999999997,146.499882685275,778,54
4.1559960243260194,42.4045053111594,25.8662509313907,0.39299999999999996,112.186781928024,594,54
4.15549418907107,44.8841432832751,28.949466334154,353,125.626672515401,594,29
4.88572224133004,48.229954266684,28.502083803878797,0.40700000000000003,145.167872003599,688,29
4.7700020492395705,49.882928912275894,31.2114528692211,373,155.103566994738,688,12
5.63045006758003,53.0958165757347,29.7270632624294,441,176.40657162102698,783,12
5.69368842358843,51.768454134307696,27.8875396107531,0.45899999999999996,167.761436754602,783,25
2.9390440727445,37.4007281990689,28.344783473895603,243,87.5176388121821,406,25
2.9153210342457996,37.3119895574824,28.5382512438547,235,87.0936440342561,406,26
2.78485156421967,36.7082707814389,29.168041822238997,207,84.13977379946091,393,26
2.7868730878570895,36.1753238351777,28.215501748959603,0.21899999999999997,81.64607909560971,393,33
3.95594993716456,43.83131613659489,28.8639652057538,0.33899999999999997,119.81226609341002,576,33
3.97573604723517,43.747988763462104,28.637736568020102,0.34299999999999997,119.301047817079,576,34
